gene,mean_ADRN,mean_MES,difference,p_value,q_value,significant,abs_difference
MYC,-0.1662,-1.1511,0.9849,0.019161,0.510974,No,0.9849
MYCN,-0.8447,-0.2327,-0.612,0.112366,0.59823,No,0.612
SOX11,-0.5897,-0.052,-0.5377,0.012196,0.510974,No,0.5377
GATA3,-0.8185,-0.394,-0.4245,0.060154,0.510974,No,0.4245
ISL1,-1.0189,-0.6377,-0.3812,0.191718,0.652879,No,0.3812
TP53,0.3751,0.7313,-0.3562,0.335554,0.757251,No,0.3562
BCLAF1,-1.1681,-0.8362,-0.3318,0.169019,0.638893,No,0.3318
MLX,-0.2201,0.1015,-0.3216,0.019161,0.510974,No,0.3216
TBX3,-0.2371,-0.5493,0.3121,0.070958,0.556701,No,0.3121
YY1,-1.032,-0.7285,-0.3036,0.112366,0.59823,No,0.3036
GTF3A,-0.8888,-1.1803,0.2915,0.050631,0.510974,No,0.2915
MYBL2,-0.5991,-0.8768,0.2778,0.060154,0.510974,No,0.2778
SMARCA4,-0.7255,-0.4518,-0.2736,0.112366,0.59823,No,0.2736
BRD4,-0.881,-1.1531,0.2722,0.02364,0.510974,No,0.2722
ASCL1,-0.3775,-0.1061,-0.2713,0.169019,0.638893,No,0.2713
ATF5,-0.1314,0.1394,-0.2709,0.000151,0.113834,No,0.2709
CTCF,-1.7217,-1.4569,-0.2648,0.191718,0.652879,No,0.2648
DMAP1,-1.0763,-1.3385,0.2622,0.129418,0.607704,No,0.2622
KAT5,-0.6067,-0.8649,0.2582,0.02364,0.510974,No,0.2582
E2F6,0.2712,0.0198,0.2514,0.25,0.723487,No,0.2514
HDAC3,-0.7079,-0.9574,0.2495,0.243064,0.712235,No,0.2495
FOXO3,-0.5156,-0.2723,-0.2434,0.027329,0.510974,No,0.2434
SF1,-2.4162,-2.1748,-0.2415,0.302654,0.733354,No,0.2415
NFIC,0.0028,0.2361,-0.2333,0.000452,0.113834,No,0.2333
GATA2,-0.3521,-0.1195,-0.2326,0.042349,0.510974,No,0.2326
ENO1,-0.0897,-0.322,0.2323,0.191718,0.652879,No,0.2323
RCOR2,-0.4524,-0.2225,-0.2299,0.060154,0.510974,No,0.2299
CREBBP,0.1605,-0.0653,0.2258,0.08323,0.563916,No,0.2258
EGR2,-0.1368,-0.3615,0.2247,0.042349,0.510974,No,0.2247
YBX1,-1.6316,-1.4072,-0.2243,0.271786,0.723487,No,0.2243
MYT1,-0.1756,0.0457,-0.2212,0.08323,0.563916,No,0.2212
TFAP2B,-0.3511,-0.131,-0.2201,0.302654,0.733354,No,0.2201
