gene,mean_ADRN,mean_MES,difference,p_value,q_value,significant,abs_difference
FOSL1,-0.5098,1.9133,-2.4231,0.000224,0.006047,Yes,2.4231
RUNX2,-0.4664,1.9413,-2.4077,0.000213,0.006047,Yes,2.4077
HMGA2,-0.4864,1.833,-2.3195,0.000193,0.006047,Yes,2.3195
YAP1,-0.5734,1.6737,-2.247,0.000221,0.006047,Yes,2.247
CEBPG,0.4208,-1.7483,2.1691,0.000278,0.006047,Yes,2.1691
IRF1,-0.4706,1.6727,-2.1433,8e-06,0.00128,Yes,2.1433
WWTR1,-0.4683,1.6633,-2.1316,0.000278,0.006047,Yes,2.1316
TBX18,-0.441,1.6565,-2.0975,0.000511,0.008,Yes,2.0975
BCL3,-0.4825,1.591,-2.0735,0.000224,0.006047,Yes,2.0735
HSF2,0.4319,-1.6192,2.0512,4e-06,0.0008,Yes,2.0512
MAFK,-0.3819,1.6483,-2.0303,0.000226,0.006047,Yes,2.0303
BCOR,0.4513,-1.5604,2.0117,2.9e-05,0.0028,Yes,2.0117
VDR,-0.3608,1.6198,-1.9806,0.000885,0.010841,Yes,1.9806
NPAS2,-0.4175,1.5628,-1.9803,0.00112,0.012198,Yes,1.9803
ELF4,-0.3798,1.5852,-1.965,4e-06,0.0008,Yes,1.965
NFKBIZ,-0.3927,1.5617,-1.9544,0.000126,0.0048,Yes,1.9544
RUNX1,-0.3375,1.5999,-1.9374,0.000762,0.010164,Yes,1.9374
RREB1,-0.4368,1.4864,-1.9232,0.000618,0.009203,Yes,1.9232
BHLHE41,-0.3638,1.5454,-1.9092,0.001624,0.01395,Yes,1.9092
MYT1,0.5643,-1.3416,1.906,4e-06,0.0008,Yes,1.906
NR3C1,-0.4417,1.4525,-1.8942,2.9e-05,0.0028,Yes,1.8942
NFKB1,-0.4217,1.418,-1.8397,0.000269,0.006047,Yes,1.8397
PRRX1,-0.3957,1.4208,-1.8165,0.000924,0.010841,Yes,1.8165
TWIST2,-0.4877,1.3169,-1.8047,0.017322,0.070401,No,1.8047
MYCN,0.3565,-1.4082,1.7648,0.002669,0.019696,Yes,1.7648
NFKB2,-0.4449,1.3075,-1.7525,2.9e-05,0.0028,Yes,1.7525
CREB3L1,-0.3645,1.3818,-1.7463,0.005542,0.034812,Yes,1.7463
HMGB2,0.4017,-1.3433,1.745,0.000126,0.0048,Yes,1.745
STAT1,-0.3751,1.3655,-1.7407,8e-05,0.004677,Yes,1.7407
PPARG,-0.3578,1.3642,-1.722,0.001634,0.01395,Yes,1.722
FEV,0.4639,-1.2371,1.701,0.000924,0.010841,Yes,1.701
KLF5,-0.3927,1.3053,-1.6979,0.001355,0.013049,Yes,1.6979
E2F2,0.3358,-1.3525,1.6882,0.000379,0.0072,Yes,1.6882
FOSL2,-0.3326,1.3534,-1.686,0.000126,0.0048,Yes,1.686
ELK3,-0.4135,1.2718,-1.6853,5.1e-05,0.003491,Yes,1.6853
PAX5,0.503,-1.1781,1.6811,0.000761,0.010164,Yes,1.6811
KLF8,-0.3687,1.3107,-1.6793,0.001412,0.013411,Yes,1.6793
NR1H2,-0.3212,1.3497,-1.6709,5.1e-05,0.003491,Yes,1.6709
PHOX2B,0.2919,-1.3774,1.6693,0.000185,0.006047,Yes,1.6693
PHOX2A,0.4065,-1.2578,1.6643,0.000269,0.006047,Yes,1.6643
RFXAP,0.3511,-1.3081,1.6592,0.000126,0.0048,Yes,1.6592
BCL6,-0.4044,1.2541,-1.6585,0.001124,0.012198,Yes,1.6585
CEBPD,-0.2854,1.3729,-1.6583,0.00468,0.030798,Yes,1.6583
RELB,-0.3799,1.2669,-1.6468,0.000379,0.0072,Yes,1.6468
TGFB1I1,-0.2796,1.3492,-1.6288,0.000126,0.0048,Yes,1.6288
CREB3L3,-0.3062,1.3224,-1.6287,0.010637,0.048993,Yes,1.6287
SP4,0.4146,-1.2042,1.6188,0.000712,0.009832,Yes,1.6188
HLF,0.381,-1.2337,1.6147,0.000515,0.008,Yes,1.6147
ATF4,0.3314,-1.2818,1.6133,0.000526,0.008,Yes,1.6133
SALL2,0.3401,-1.2726,1.6127,8e-05,0.004677,Yes,1.6127
HAND1,0.3727,-1.2323,1.605,0.000526,0.008,Yes,1.605
KLF6,-0.3198,1.2803,-1.6001,0.000956,0.010841,Yes,1.6001
FOXC2,-0.3214,1.2705,-1.5919,0.015311,0.064936,No,1.5919
E2F1,0.3263,-1.2648,1.5911,0.000526,0.008,Yes,1.5911
MSC,-0.3227,1.263,-1.5857,0.001624,0.01395,Yes,1.5857
ASCL1,0.2383,-1.342,1.5802,0.000526,0.008,Yes,1.5802
BHLHE40,-0.3174,1.2619,-1.5794,0.004194,0.027957,Yes,1.5794
POU2F2,0.4478,-1.1227,1.5705,4e-06,0.0008,Yes,1.5705
HES6,0.3432,-1.2257,1.5688,0.000526,0.008,Yes,1.5688
GLI3,-0.2961,1.2702,-1.5664,0.002425,0.019607,Yes,1.5664
IRF9,-0.3393,1.2235,-1.5628,0.001233,0.012547,Yes,1.5628
SOX11,0.3402,-1.2205,1.5606,0.000126,0.0048,Yes,1.5606
AHR,-0.2918,1.2588,-1.5506,0.045966,0.14556,No,1.5506
ZBTB7B,-0.3879,1.1614,-1.5493,0.002097,0.017321,Yes,1.5493
ARID5B,-0.3224,1.2246,-1.547,0.001124,0.012198,Yes,1.547
SATB1,0.3516,-1.1918,1.5433,0.000185,0.006047,Yes,1.5433
ELF1,-0.3405,1.2009,-1.5414,0.000956,0.010841,Yes,1.5414
MEF2C,-0.2378,1.3026,-1.5405,0.006999,0.039599,Yes,1.5405
KLF2,-0.3255,1.2087,-1.5343,0.014027,0.060229,No,1.5343
NUPR1,-0.3507,1.1819,-1.5326,0.006446,0.037398,Yes,1.5326
IRF2,-0.3367,1.1938,-1.5305,0.000269,0.006047,Yes,1.5305
ZBTB4,-0.2584,1.2662,-1.5245,0.000956,0.010841,Yes,1.5245
IKZF2,-0.2491,1.2742,-1.5233,0.003333,0.023835,Yes,1.5233
JARID2,0.3595,-1.1399,1.4995,0.000712,0.009832,Yes,1.4995
FOXO3,0.3583,-1.139,1.4972,0.000526,0.008,Yes,1.4972
GLIS3,-0.3048,1.1898,-1.4946,0.001305,0.012881,Yes,1.4946
KLF4,-0.3454,1.1487,-1.4941,0.008956,0.044979,Yes,1.4941
STAT2,-0.2928,1.1978,-1.4907,0.000379,0.0072,Yes,1.4907
SOX17,-0.2359,1.2534,-1.4893,0.016826,0.068753,No,1.4893
RFX3,0.3974,-1.0858,1.4832,0.000269,0.006047,Yes,1.4832
WT1,-0.3384,1.142,-1.4804,0.009578,0.04532,Yes,1.4804
GTF2IRD1,0.3336,-1.1429,1.4765,0.003968,0.026925,Yes,1.4765
MXI1,0.3721,-1.1021,1.4742,0.000526,0.008,Yes,1.4742
ARID3B,0.3558,-1.1183,1.4741,0.000269,0.006047,Yes,1.4741
TRPS1,-0.3328,1.1309,-1.4638,0.005944,0.036729,Yes,1.4638
TLX2,0.2691,-1.1937,1.4629,0.00637,0.037398,Yes,1.4629
IRF3,-0.3359,1.1266,-1.4625,0.000126,0.0048,Yes,1.4625
KLF17,-0.2727,1.1857,-1.4584,4.4e-05,0.003491,Yes,1.4584
SMAD3,-0.3319,1.1237,-1.4557,0.001356,0.013049,Yes,1.4557
TFE3,-0.3079,1.1463,-1.4542,0.000956,0.010841,Yes,1.4542
ATF3,0.2759,-1.1646,1.4405,0.000379,0.0072,Yes,1.4405
STOX1,0.2546,-1.1797,1.4343,0.000928,0.010841,Yes,1.4343
PEG3,0.3954,-1.0385,1.4338,0.003963,0.026925,Yes,1.4338
TCF20,0.3357,-1.096,1.4318,0.003968,0.026925,Yes,1.4318
KLF13,0.2968,-1.1241,1.421,0.001634,0.01395,Yes,1.421
ATF6,-0.4647,0.9507,-1.4154,0.000379,0.0072,Yes,1.4154
SOX9,-0.3599,1.0529,-1.4127,0.001255,0.012547,Yes,1.4127
MXD1,0.4149,-0.9863,1.4012,0.000693,0.009832,Yes,1.4012
FOXO4,0.3272,-1.0719,1.3991,0.001255,0.012547,Yes,1.3991
