TF,mean_ADRN,mean_MES,difference,p_value,q_value,significant,abs_difference
NFKB,-0.5086,1.8021,-2.3107,4e-06,7.6e-05,Yes,2.3107
IRF3,-0.5635,1.7139,-2.2774,4e-06,7.6e-05,Yes,2.2774
TP53,-0.4683,1.7937,-2.262,4e-06,7.6e-05,Yes,2.262
NFKB1,-0.5225,1.7304,-2.2528,4e-06,7.6e-05,Yes,2.2528
RELA,-0.4814,1.7539,-2.2353,8e-06,9.9e-05,Yes,2.2353
KLF10,-0.4288,1.8062,-2.235,8e-06,9.9e-05,Yes,2.235
MAF,-0.5326,1.6978,-2.2305,4e-06,7.6e-05,Yes,2.2305
SMAD3,-0.4784,1.7406,-2.2189,8e-06,9.9e-05,Yes,2.2189
HIVEP3,-0.478,1.7224,-2.2004,4e-06,7.6e-05,Yes,2.2004
ZEB2,-0.4927,1.6974,-2.1901,4e-06,7.6e-05,Yes,2.1901
CREB3L1,-0.4927,1.6941,-2.1868,4e-06,7.6e-05,Yes,2.1868
STAT1,-0.5112,1.6749,-2.1861,4e-06,7.6e-05,Yes,2.1861
HOXB2,-0.4963,1.6808,-2.1771,4e-06,7.6e-05,Yes,2.1771
HOXD3,-0.4413,1.7304,-2.1717,8e-06,9.9e-05,Yes,2.1717
SMAD4,-0.4779,1.6876,-2.1655,1.7e-05,0.000151,Yes,2.1655
FOXF1,-0.4402,1.7234,-2.1635,1.7e-05,0.000151,Yes,2.1635
REL,-0.502,1.6607,-2.1628,4e-06,7.6e-05,Yes,2.1628
SP7,-0.489,1.67,-2.1591,8e-06,9.9e-05,Yes,2.1591
NR1D1,0.4498,-1.7032,2.1531,4e-06,7.6e-05,Yes,2.1531
FEV,0.4357,-1.7164,2.1521,4e-06,7.6e-05,Yes,2.1521
NR2C2,-0.4364,1.7114,-2.1478,4e-06,7.6e-05,Yes,2.1478
NFKBIB,-0.4576,1.6882,-2.1458,8e-06,9.9e-05,Yes,2.1458
USF2,-0.5168,1.6273,-2.1441,4e-06,7.6e-05,Yes,2.1441
IRF1,-0.5056,1.6345,-2.1401,4e-06,7.6e-05,Yes,2.1401
HIF1A,-0.4715,1.6575,-2.129,4e-06,7.6e-05,Yes,2.129
TFEB,-0.3814,1.7465,-2.1279,4e-06,7.6e-05,Yes,2.1279
