gene,mean_ADRN,mean_MES,difference,p_value,q_value,significant,abs_difference
YAP1,-0.8953,0.9814,-1.8766,0.0,0.0,Yes,1.8766
MEF2C,-0.8585,0.9394,-1.7979,0.0,0.0,Yes,1.7979
BCL3,-0.8036,0.9464,-1.7501,0.0,0.0,Yes,1.7501
AHR,-0.7739,0.9357,-1.7096,0.0,0.0,Yes,1.7096
NFIA,-0.8161,0.8927,-1.7088,0.0,0.0,Yes,1.7088
NR2F2,-0.8013,0.9027,-1.7041,0.0,0.0,Yes,1.7041
FLI1,-0.7973,0.9027,-1.7,0.0,0.0,Yes,1.7
GLI3,-0.8246,0.8708,-1.6954,0.0,0.0,Yes,1.6954
MAF,-0.7346,0.9055,-1.6401,0.0,0.0,Yes,1.6401
NUPR1,-0.7466,0.8912,-1.6378,0.0,0.0,Yes,1.6378
AEBP1,-0.7634,0.8527,-1.616,0.0,0.0,Yes,1.616
CEBPD,-0.7462,0.8597,-1.6058,0.0,0.0,Yes,1.6058
FHL2,-0.7456,0.8299,-1.5755,0.0,0.0,Yes,1.5755
STAT6,-0.6986,0.8603,-1.5589,0.0,0.0,Yes,1.5589
HEYL,-0.7853,0.7616,-1.5469,0.0,0.0,Yes,1.5469
NFKBIZ,-0.6978,0.8418,-1.5395,0.0,0.0,Yes,1.5395
CEBPE,-0.6763,0.8619,-1.5382,0.0,0.0,Yes,1.5382
HOXA4,-0.745,0.7918,-1.5368,0.0,0.0,Yes,1.5368
TCF7L1,-0.7371,0.7674,-1.5045,0.0,0.0,Yes,1.5045
HHEX,-0.7156,0.787,-1.5026,0.0,0.0,Yes,1.5026
ELK3,-0.7365,0.7623,-1.4988,0.0,0.0,Yes,1.4988
IRF3,-0.6357,0.8423,-1.478,0.0,0.0,Yes,1.478
PPARG,-0.6293,0.8094,-1.4387,0.0,0.0,Yes,1.4387
HOXB4,-0.5898,0.8461,-1.4359,0.0,0.0,Yes,1.4359
NFATC1,-0.6178,0.7989,-1.4167,0.0,0.0,Yes,1.4167
ELF1,-0.5722,0.8425,-1.4147,0.0,0.0,Yes,1.4147
NOTCH1,-0.7111,0.6983,-1.4094,0.0,0.0,Yes,1.4094
RELB,-0.6761,0.7299,-1.406,0.0,0.0,Yes,1.406
EGR2,-0.6406,0.75,-1.3906,0.0,0.0,Yes,1.3906
WWTR1,-0.6723,0.7149,-1.3872,0.0,0.0,Yes,1.3872
ID3,-0.6384,0.7452,-1.3836,0.0,0.0,Yes,1.3836
JDP2,-0.6132,0.7648,-1.3779,0.0,0.0,Yes,1.3779
JUNB,-0.6459,0.7309,-1.3769,0.0,0.0,Yes,1.3769
LITAF,-0.5159,0.8595,-1.3754,0.0,0.0,Yes,1.3754
NFIX,-0.5995,0.7461,-1.3456,0.0,0.0,Yes,1.3456
HIC1,-0.624,0.7162,-1.3403,0.0,0.0,Yes,1.3403
KLF8,-0.5834,0.7473,-1.3307,0.0,0.0,Yes,1.3307
AR,-0.6802,0.6449,-1.3252,0.0,0.0,Yes,1.3252
LYL1,-0.5917,0.7284,-1.3201,0.0,0.0,Yes,1.3201
TGIF1,-0.5967,0.7222,-1.3189,0.0,0.0,Yes,1.3189
IRF1,-0.5779,0.7359,-1.3138,0.0,0.0,Yes,1.3138
KLF4,-0.6139,0.6888,-1.3027,0.0,0.0,Yes,1.3027
ERG,-0.5745,0.725,-1.2995,0.0,0.0,Yes,1.2995
ID1,-0.5896,0.7095,-1.2991,0.0,0.0,Yes,1.2991
ETV6,-0.6016,0.6889,-1.2905,0.0,0.0,Yes,1.2905
HES1,-0.6531,0.6335,-1.2866,0.0,0.0,Yes,1.2866
KLF9,-0.5443,0.7348,-1.2792,0.0,0.0,Yes,1.2792
SMAD3,-0.5646,0.7064,-1.271,0.0,0.0,Yes,1.271
ARID5B,-0.5193,0.7485,-1.2677,0.0,0.0,Yes,1.2677
ZNF300,0.5371,-0.7239,1.261,0.0,0.0,Yes,1.261
FOXO1,-0.5755,0.6793,-1.2548,0.0,0.0,Yes,1.2548
VENTX,-0.4566,0.7943,-1.2508,0.0,0.0,Yes,1.2508
IRF8,-0.5926,0.6556,-1.2482,0.0,0.0,Yes,1.2482
ZNF217,-0.5209,0.7211,-1.242,0.0,0.0,Yes,1.242
VDR,-0.621,0.6061,-1.2271,0.0,0.0,Yes,1.2271
STAT5A,-0.5059,0.7197,-1.2256,0.0,0.0,Yes,1.2256
BATF,-0.5396,0.6842,-1.2238,0.0,0.0,Yes,1.2238
ELK4,-0.5265,0.6929,-1.2194,0.0,0.0,Yes,1.2194
IRF5,-0.5615,0.6566,-1.2181,0.0,0.0,Yes,1.2181
KLF2,-0.4955,0.7174,-1.2128,0.0,0.0,Yes,1.2128
EGR1,-0.5785,0.634,-1.2125,0.0,0.0,Yes,1.2125
GLI1,-0.6301,0.5787,-1.2087,0.0,0.0,Yes,1.2087
ZBTB7B,-0.5303,0.6782,-1.2085,0.0,0.0,Yes,1.2085
HOXB3,-0.5158,0.6885,-1.2042,0.0,0.0,Yes,1.2042
GLI2,-0.5974,0.6032,-1.2006,0.0,0.0,Yes,1.2006
NR1H3,-0.5193,0.6679,-1.1872,0.0,0.0,Yes,1.1872
GATA3,0.5076,-0.6752,1.1828,0.0,0.0,Yes,1.1828
ETS1,-0.5177,0.6648,-1.1825,0.0,0.0,Yes,1.1825
PRRX1,-0.5973,0.5828,-1.18,0.0,0.0,Yes,1.18
LEF1,-0.5728,0.6042,-1.177,0.0,0.0,Yes,1.177
HSF2,0.4387,-0.727,1.1657,0.0,0.0,Yes,1.1657
BTG2,-0.5171,0.6435,-1.1605,0.0,0.0,Yes,1.1605
NR3C2,-0.5606,0.5844,-1.1451,0.0,0.0,Yes,1.1451
RUNX3,-0.5061,0.6385,-1.1446,0.0,0.0,Yes,1.1446
PPARGC1B,-0.526,0.6034,-1.1294,0.0,0.0,Yes,1.1294
HOXB7,-0.4794,0.6395,-1.1189,0.0,0.0,Yes,1.1189
RXRA,-0.4178,0.6887,-1.1065,0.0,0.0,Yes,1.1065
FOS,-0.5369,0.5685,-1.1054,0.0,0.0,Yes,1.1054
REST,-0.4458,0.6572,-1.103,0.0,0.0,Yes,1.103
PATZ1,0.5148,-0.5808,1.0956,0.0,0.0,Yes,1.0956
CIITA,-0.4283,0.6544,-1.0827,0.0,0.0,Yes,1.0827
IKZF1,-0.4675,0.6137,-1.0812,0.0,0.0,Yes,1.0812
ELF4,-0.4988,0.5806,-1.0794,0.0,0.0,Yes,1.0794
SMAD7,-0.5002,0.5745,-1.0747,0.0,0.0,Yes,1.0747
SNAI1,-0.4884,0.5851,-1.0735,0.0,0.0,Yes,1.0735
ID2,-0.486,0.5841,-1.07,0.0,0.0,Yes,1.07
ZGPAT,-0.4928,0.5761,-1.0689,0.0,0.0,Yes,1.0689
RFXAP,0.4442,-0.6243,1.0685,0.0,0.0,Yes,1.0685
NFKB2,-0.488,0.5766,-1.0646,0.0,0.0,Yes,1.0646
NR2F1,-0.4295,0.6337,-1.0633,0.0,0.0,Yes,1.0633
