gene,median_score,EFS_HR,EFS_p_value,OS_HR,OS_p_value,EFS_q_value,OS_q_value,EFS_significant,OS_significant,both_significant
E2F3,-0.0735,6.4679,1.77e-21,8.3994,2.39e-16,7.78e-19,3.41e-14,Yes,Yes,Yes
HIVEP2,0.0815,0.1514,2.18e-21,0.087,1.51e-18,7.78e-19,9.19e-16,Yes,Yes,Yes
E2F1,0.0671,6.1197,9.63e-21,8.2402,4.75e-16,2.29e-18,4.21e-14,Yes,Yes,Yes
ZBTB4,0.0672,0.1766,1.02e-19,0.0965,5.36e-18,1.83e-17,1.28e-15,Yes,Yes,Yes
MYBL2,0.077,5.3854,5.53e-19,7.1136,3.77e-15,7.9e-17,2.24e-13,Yes,Yes,Yes
DNMT1,-0.062,5.0922,5.85e-18,8.6715,5.77e-17,6.96e-16,1.03e-14,Yes,Yes,Yes
FOXM1,0.0853,4.9978,1.35e-17,8.2542,4.51e-16,1.38e-15,4.21e-14,Yes,Yes,Yes
ESRRA,-0.0458,4.7476,1.1e-16,6.754,7.33e-15,9.83e-15,3.49e-13,Yes,Yes,Yes
NONO,-0.0664,4.4483,7.22e-16,9.8653,2.57e-18,5.73e-14,9.19e-16,Yes,Yes,Yes
CEBPG,-0.0625,4.251,3.84e-15,5.7422,2.46e-13,2.74e-13,9.76e-12,Yes,Yes,Yes
THRA,0.03,0.2435,1.08e-14,0.1636,8.01e-14,6.88e-13,3.36e-12,Yes,Yes,Yes
E2F7,0.1269,4.0478,1.16e-14,4.6749,2.45e-11,6.88e-13,6.49e-10,Yes,Yes,Yes
SSRP1,-0.102,4.1406,1.31e-14,7.0974,4.84e-15,7.2e-13,2.47e-13,Yes,Yes,Yes
HMGB2,0.0256,4.0577,1.72e-14,4.353,2.42e-10,7.69e-13,4.67e-09,Yes,Yes,Yes
FOXP1,0.181,0.2339,1.71e-14,0.1095,1.07e-15,7.69e-13,7.62e-14,Yes,Yes,Yes
ING4,0.0948,0.2395,1.52e-14,0.1754,1.07e-12,7.69e-13,3.32e-11,Yes,Yes,Yes
MTA2,-0.1166,4.0055,3.86e-14,6.9983,1.65e-15,1.62e-12,1.07e-13,Yes,Yes,Yes
ATF5,-0.2459,4.0035,5.95e-14,5.8156,4.77e-13,2.36e-12,1.7e-11,Yes,Yes,Yes
DAXX,-0.1223,3.8159,9.11e-14,7.1703,5.3e-16,3.42e-12,4.21e-14,Yes,Yes,Yes
KLF12,0.0756,0.2614,2.84e-13,0.2359,5.7e-10,9.64e-12,9.68e-09,Yes,Yes,Yes
TRIM28,-0.0934,3.7063,2.73e-13,4.6828,4.44e-11,9.64e-12,1.13e-09,Yes,Yes,Yes
THAP11,-0.0532,3.7515,4.26e-13,8.2905,3.56e-16,1.38e-11,4.21e-14,Yes,Yes,Yes
ELK1,0.0489,3.6239,5.86e-13,6.0525,3.09e-14,1.82e-11,1.38e-12,Yes,Yes,Yes
ZEB2,0.0528,0.2716,1.47e-12,0.1585,3.72e-13,4.37e-11,1.4e-11,Yes,Yes,Yes
E2F2,-0.0755,3.5994,1.58e-12,4.2904,3.8e-10,4.52e-11,6.96e-09,Yes,Yes,Yes
SOX4,0.1182,0.2771,2.25e-12,0.2325,7.13e-10,6.19e-11,1.18e-08,Yes,Yes,Yes
ZNF362,0.1835,0.2789,4.6e-12,0.1624,8.7e-13,1.22e-10,2.83e-11,Yes,Yes,Yes
ZBTB16,0.0743,0.2865,5.85e-12,0.2481,2.56e-09,1.49e-10,3.97e-08,Yes,Yes,Yes
TCF3,-0.1302,3.4016,6.43e-12,4.342,1.35e-10,1.58e-10,2.94e-09,Yes,Yes,Yes
NPM1,-0.225,3.4172,9.74e-12,4.6426,1.36e-10,2.32e-10,2.94e-09,Yes,Yes,Yes
