TF,mean_ADRN,mean_MES,difference,p_value,q_value,significant,abs_difference
SP1,-0.9068,1.1061,-2.0129,0.0,0.0,Yes,2.0129
ETS1,-0.8772,1.0653,-1.9424,0.0,0.0,Yes,1.9424
SP3,-0.8674,1.0521,-1.9195,0.0,0.0,Yes,1.9195
TP53,-0.8584,1.053,-1.9114,0.0,0.0,Yes,1.9114
AP1,-0.8406,1.0645,-1.9051,0.0,0.0,Yes,1.9051
SMAD3,-0.9053,0.9972,-1.9025,0.0,0.0,Yes,1.9025
NFKB,-0.8302,1.068,-1.8982,0.0,0.0,Yes,1.8982
MAF,-0.7838,1.0765,-1.8603,0.0,0.0,Yes,1.8603
JUN,-0.8462,1.0139,-1.8601,0.0,0.0,Yes,1.8601
CEBPB,-0.8179,1.031,-1.8489,0.0,0.0,Yes,1.8489
STAT1,-0.8168,1.0281,-1.8449,0.0,0.0,Yes,1.8449
STAT3,-0.833,1.011,-1.844,0.0,0.0,Yes,1.844
ETV4,-0.8392,0.9948,-1.8339,0.0,0.0,Yes,1.8339
NFKB1,-0.8144,1.0117,-1.826,0.0,0.0,Yes,1.826
CEBPA,-0.7991,1.024,-1.823,0.0,0.0,Yes,1.823
SPI1,-0.8027,1.0198,-1.8226,0.0,0.0,Yes,1.8226
USF2,-0.7993,1.0203,-1.8195,0.0,0.0,Yes,1.8195
TGFB1I1,-0.882,0.934,-1.816,0.0,0.0,Yes,1.816
FOS,-0.8179,0.9917,-1.8096,0.0,0.0,Yes,1.8096
ETS2,-0.8044,1.0012,-1.8055,0.0,0.0,Yes,1.8055
TP63,-0.8292,0.9749,-1.8042,0.0,0.0,Yes,1.8042
HIF1A,-0.7972,1.004,-1.8012,0.0,0.0,Yes,1.8012
BARX1,-0.7964,1.0012,-1.7976,0.0,0.0,Yes,1.7976
ESR1,-0.8397,0.9563,-1.796,0.0,0.0,Yes,1.796
FOXC1,-0.8585,0.9367,-1.7952,0.0,0.0,Yes,1.7952
SRF,-0.843,0.9496,-1.7925,0.0,0.0,Yes,1.7925
ELF3,-0.7962,0.9931,-1.7893,0.0,0.0,Yes,1.7893
TP73,-0.8001,0.9839,-1.784,0.0,0.0,Yes,1.784
RELA,-0.7994,0.9831,-1.7825,0.0,0.0,Yes,1.7825
RARA,-0.7816,0.9983,-1.7799,0.0,0.0,Yes,1.7799
USF1,-0.7502,1.0038,-1.7539,0.0,0.0,Yes,1.7539
VDR,-0.8247,0.9278,-1.7525,0.0,0.0,Yes,1.7525
ESR2,-0.7715,0.9781,-1.7496,0.0,0.0,Yes,1.7496
PITX2,-0.7706,0.9565,-1.727,0.0,0.0,Yes,1.727
IRF3,-0.7436,0.98,-1.7237,0.0,0.0,Yes,1.7237
FOXO1,-0.7663,0.9571,-1.7235,0.0,0.0,Yes,1.7235
SMAD2,-0.8174,0.9042,-1.7216,0.0,0.0,Yes,1.7216
SMAD4,-0.763,0.9528,-1.7158,0.0,0.0,Yes,1.7158
