TF,median_score,EFS_HR,EFS_p_value,OS_HR,OS_p_value,EFS_q_value,OS_q_value,EFS_significant,OS_significant,both_significant
ZNF143,-0.0114,7.2571,2.8e-23,12.8381,5.42e-19,2.13e-20,1.38e-16,Yes,Yes,Yes
STOX1,-0.1077,6.6194,4.09e-22,11.8346,4.48e-19,1.56e-19,1.38e-16,Yes,Yes,Yes
TFDP3,0.0201,0.1731,3.06e-19,0.1527,9.64e-14,6.93e-17,1.05e-11,Yes,Yes,Yes
MYC,-0.102,5.3566,3.64e-19,6.9129,2.4e-15,6.93e-17,3.65e-13,Yes,Yes,Yes
E2F2,0.0248,5.2912,1.58e-18,9.2012,5.41e-17,2.41e-16,1.03e-14,Yes,Yes,Yes
ZNF395,0.045,5.0499,5.25e-18,11.6311,3.17e-20,6.67e-16,2.42e-17,Yes,Yes,Yes
E2F3,0.0209,4.926,1.37e-17,6.506,2.79e-14,1.5e-15,3.55e-12,Yes,Yes,Yes
SRSF2,0.0375,4.5651,3.27e-16,4.441,1.35e-10,2.77e-14,4.89e-09,Yes,Yes,Yes
KLF7,-0.0044,0.2156,3.17e-16,0.1594,1.14e-13,2.77e-14,1.08e-11,Yes,Yes,Yes
E2F4,0.0443,4.0998,1.03e-14,5.108,5.82e-12,7.84e-13,4.39e-10,Yes,Yes,Yes
E2F1,0.0867,3.9232,4.99e-14,5.0006,1.16e-11,3.45e-12,6.78e-10,Yes,Yes,Yes
E2F5,0.083,3.9839,7.46e-14,4.257,5.16e-10,4.74e-12,1.64e-08,Yes,Yes,Yes
MYCN,-0.0772,3.8097,1.99e-13,4.6565,5.44e-11,1.16e-11,2.44e-09,Yes,Yes,Yes
ZHX2,-0.0038,0.2727,7.49e-13,0.2017,1.62e-11,4.08e-11,8.82e-10,Yes,Yes,Yes
RB1,0.0617,0.2722,9.85e-13,0.245,1.73e-09,5e-11,4.54e-08,Yes,Yes,Yes
SOX10,-0.0662,0.2869,3.2e-12,0.2571,1.48e-09,1.53e-10,4.02e-08,Yes,Yes,Yes
TFDP1,0.0177,3.432,4.44e-12,4.0828,5.79e-10,1.99e-10,1.76e-08,Yes,Yes,Yes
ARID3A,0.1234,3.4898,6.24e-12,5.222,6.87e-12,2.52e-10,4.39e-10,Yes,Yes,Yes
CTBP1,0.0574,0.2834,6.28e-12,0.2272,3.68e-10,2.52e-10,1.22e-08,Yes,Yes,Yes
DNMT3A,-0.0184,3.3818,1.16e-11,5.6388,4.59e-13,4.42e-10,3.88e-11,Yes,Yes,Yes
E2F7,-0.0251,0.2968,1.85e-11,0.2128,9.32e-11,6.7e-10,3.74e-09,Yes,Yes,Yes
HCFC1,0.0406,3.3246,2.16e-11,3.5035,3.14e-08,7.48e-10,7.03e-07,Yes,Yes,Yes
MYBL2,0.0315,3.2723,2.32e-11,3.7829,3.29e-09,7.68e-10,8.36e-08,Yes,Yes,Yes
TBPL2,-0.0107,0.3086,6.58e-11,0.2251,2.54e-10,2.09e-09,8.79e-09,Yes,Yes,Yes
EP300,0.0102,3.1352,2.39e-10,3.6148,3.28e-08,7.28e-09,7.14e-07,Yes,Yes,Yes
IKZF4,-0.0039,0.3278,5.23e-10,0.24,9.38e-10,1.53e-08,2.75e-08,Yes,Yes,Yes
HOPX,0.0259,3.0234,7.08e-10,5.3865,6.91e-12,2e-08,4.39e-10,Yes,Yes,Yes
RFX3,0.0217,2.9224,1.99e-09,5.0341,2.43e-11,5.4e-08,1.24e-09,Yes,Yes,Yes
KLF8,-0.0107,0.3431,2.13e-09,0.2042,5.97e-11,5.59e-08,2.53e-09,Yes,Yes,Yes
MEF2B,-0.0008,0.3491,2.59e-09,0.295,5.36e-08,6.58e-08,1.08e-06,Yes,Yes,Yes
EN1,-0.012,0.364,8.15e-09,0.215,2.89e-11,2e-07,1.38e-09,Yes,Yes,Yes
ESRRB,0.027,0.3617,9.16e-09,0.3474,1.9e-06,2.18e-07,2.42e-05,Yes,Yes,Yes
ZNF76,0.0684,2.7317,9.92e-09,2.9156,1.08e-06,2.29e-07,1.44e-05,Yes,Yes,Yes
TFDP2,0.0094,2.6927,1.57e-08,3.6246,1.82e-08,3.33e-07,4.2e-07,Yes,Yes,Yes
POU4F1,0.0499,0.3663,1.5e-08,0.2985,7.21e-08,3.33e-07,1.37e-06,Yes,Yes,Yes
RORB,0.048,0.3664,1.55e-08,0.3402,1.18e-06,3.33e-07,1.55e-05,Yes,Yes,Yes
FOXI1,0.0156,0.381,3.28e-08,0.3869,1.24e-05,6.75e-07,0.000118,Yes,Yes,Yes
ZNF202,0.0376,2.6158,4.28e-08,3.2847,1.22e-07,8.59e-07,2.06e-06,Yes,Yes,Yes
DNMT3B,0.0157,2.5412,7.63e-08,2.7394,3.23e-06,1.49e-06,3.84e-05,Yes,Yes,Yes
HBP1,-0.0243,0.3905,8.79e-08,0.2891,4.39e-08,1.67e-06,9.1e-07,Yes,Yes,Yes
