TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
E2F2,3.0423,7,0.8813058585350542,0.6642244348425074,0.7788395357372104,0.7178938124130252
ZNF143,2.9872,6,0.7198736317934065,0.6722399649320558,0.5951257591731355,1.0
MYCN,2.953,6,0.8783664603957114,1.0,0.6404851625848922,0.4341960562673556
STOX1,2.8568,6,0.5994158947647548,0.64669046277162,0.6952489608855414,0.9154367737870014
E2F1,2.7607,7,0.8769390589640407,0.6176341661970067,0.8103756259746882,0.4557699030119653
SOX11,2.7255,7,0.8180713670723635,0.9534723526833239,0.8490864496540407,0.10485051409198373
E2F3,2.6163,6,0.7333463362630848,0.5737366146909637,0.7233038433759946,0.5858850532849347
ZNF202,2.5915,7,0.7426857012732415,0.6647254054731042,0.8881958618747476,0.2958586599290548
HCFC1,2.5545,7,0.722029307086943,0.6496962865552007,0.8282170097086663,0.35451098009968324
ZNF395,2.5389,5,0.6129950061775641,0.555325944016532,0.5739669154012897,0.7966379325870312
NPAS4,2.5317,4,0.7106405078618994,0.7247166384870687,0.5963824662723266,0.5
RFX3,2.531,7,0.720000680571237,0.6298453253178032,0.794751341145782,0.3864522610132678
TFDP1,2.5068,7,0.6525731486803219,0.7368025549502161,0.7325272806251398,0.3849247790759549
PHOX2B,2.4928,7,0.8729641376462967,0.7068695597720583,0.8275801039140085,0.08541850124798786
ZNF382,2.491,6,0.877996833350447,0.5771807877763167,0.8925392589824137,0.14333225333084976
SP6,2.4858,3,0.7500174499191079,0.6557705554511867,0.5800323897807407,0.5
HDAC9,2.4816,7,0.7426455030405212,0.6183230008140772,0.8816762754281651,0.2389886842619049
DNMT3A,2.4722,7,0.753486501155288,0.6295948400025049,0.6464432545251062,0.44271193141584875
HOXD8,2.4606,4,0.6306075378471672,0.662095309662471,0.6679339706068498,0.5
TFAM,2.4605,7,0.7015148665534681,0.6292817333583818,0.872710735771367,0.2569854144670126
MYT1,2.4563,7,0.9025893180280666,0.7552758469534723,0.7521288536879833,0.04628940238228492
ARID3B,2.4413,7,0.7883790174297012,0.7482622581251175,0.8095265539419045,0.09515645292889383
ISL1,2.4356,7,0.8059090876210715,0.8554699730728286,0.7091091995779848,0.06513063615942413
E2F5,2.4311,6,0.6730335939832515,0.5947773811760285,0.7325093873335538,0.43074492097634753
MTF2,2.4088,7,0.7715954457039996,0.6718016156302836,0.7579996925302621,0.20743884491779194
HES6,2.4033,7,0.7719302680392068,0.6754336527021103,0.8347799949172179,0.12114418237242762
E2F4,2.3849,5,0.5896913919411471,0.619763291377043,0.7029476925134344,0.4724678252008112
PHOX2A,2.3812,7,0.90528411191412,0.7250297451311917,0.7114938487224403,0.039390385517420634
ZEB1,2.3793,6,0.8716707444709577,0.5889535975953409,0.7846046093389623,0.13407655986331674
MEIS1,2.3711,7,0.8100205988270153,0.6818836495710439,0.6990016266696664,0.180191904346667
MXI1,2.3634,7,0.8704836372552457,0.6458763854969003,0.7907689143574843,0.056273408925302124
BACH2,2.3627,7,0.7929634624217499,0.6584632725906444,0.8182507101188494,0.09305663692554715
BCLAF1,2.3619,7,0.6368460141806053,0.8245350366334774,0.7724453785107369,0.12802403058235506
NEUROG1,2.3512,7,0.7264710164239223,0.694470536664788,0.6626569324289374,0.26755245876947575
FEV,2.3364,6,0.9489211309688599,0.6011647567161374,0.7387618926346198,0.04755731293844948
ARID3A,2.3276,6,0.6385935843083957,0.6805686016657273,0.5745589649531053,0.43390640845026096
HOPX,2.3222,5,0.6526688944399981,0.5691652576867682,0.6928635687639619,0.4074709855985197
ASCL1,2.3068,6,0.8950071588963915,0.7866491326945958,0.5612391397921549,0.06393471633475376
HMGB2,2.2883,7,0.745918055113524,0.640929300519757,0.7662010050275581,0.13522878702608598
ATOH7,2.2837,6,0.826113009844219,0.5733608867180161,0.7968515292636746,0.08737041839702309
SMARCB1,2.2827,7,0.6574387203087724,0.6489448306093055,0.7854615004274067,0.19089987970360373
TLX2,2.2751,6,0.8241683849072384,0.7292253741624398,0.6155927341941129,0.10613913330758815
BCOR,2.2712,6,0.6707514870253222,0.7540234203769803,0.7745616749955322,0.07185819996857985
DAXX,2.2616,6,0.7726328221740612,0.4853779197194565,0.8487938247770439,0.15475621549556423
ZNF804A,2.2589,7,0.7230571687898176,0.6514496837622894,0.7545899894355237,0.12983821430892728
SMARCC1,2.2565,7,0.7304078045217386,0.6713006449996869,0.725330990614051,0.12946849482623918
TSHZ3,2.2513,6,0.7905368279845164,0.605923977706807,0.7592824589959557,0.0955640415663184
DACH1,2.2502,6,0.7437582561362799,0.6164443609493394,0.7454403200270656,0.14450770130000995
