TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
MYC,2.5584,6,0.4885737885776855,1.0,0.43748497629071903,0.6323156095043376
HMGA2,2.3328,7,0.9421789398164416,0.492454129876636,0.735977193018972,0.1622005263777455
STAT1,2.2879,7,0.9117433816788814,0.4965245162502348,0.8202668875443634,0.05935292407050251
AHR,2.2836,7,0.8089963144307334,0.47980462145406727,0.9176208097531673,0.07722483367795574
SMAD3,2.2552,7,0.8843865029639915,0.4115473730352558,0.8880823002682804,0.07114155571831325
IRF3,2.239,6,0.8916796017708544,0.3750391383305154,0.8961104759610756,0.07612617327778577
TGFB1I1,2.2335,7,0.878210156050397,0.43008328636733667,0.8397060711670078,0.08550882091522101
IRF1,2.2318,7,0.9504260198956709,0.38336777506418684,0.8555800941867917,0.04238735969289272
WWTR1,2.2301,7,0.8357173789753567,0.44279541611873,0.8242969498438228,0.12734023119292284
ZEB2,2.2219,7,0.8158868269685475,0.5151856722399649,0.6623462274038322,0.22848598519564148
NFKB1,2.207,6,0.9299937417965256,0.3823658338029933,0.8285924169188565,0.06604008243020157
GLI3,2.2041,7,0.8155443480361808,0.4336527021103388,0.8805579671713093,0.07435841480582918
PRRX1,2.1824,7,0.8616157547169823,0.4076648506481308,0.7799153973105672,0.13315922194579172
CEBPD,2.1728,6,0.8332680850107919,0.3585071075208216,0.8960542383764458,0.08493968681807867
NFKBIZ,2.1718,7,0.8416601399155881,0.43578182729037507,0.8392424325315198,0.05516212703147391
EGR2,2.1667,7,0.725282044208469,0.5239526582754086,0.8572377713582023,0.06025653748659175
VDR,2.164,6,0.892117982570644,0.3422881833552508,0.8601478993041662,0.06941708017514267
ETS1,2.1389,6,0.7999622678794149,0.3795478740058864,0.879548833841614,0.07985845637115052
TFE3,2.1385,7,0.8543495322979698,0.43628279792097185,0.7838739273741586,0.0640312645685049
RUNX1,2.1355,7,0.8766723859536754,0.4209405723589455,0.8010036053129552,0.03686137251806892
ELF4,2.1275,6,0.9134603571274198,0.34548187112530526,0.7795042373293375,0.08909395061927654
NR2F2,2.1268,7,0.7388214291266564,0.44711628780762724,0.8788035859660087,0.062048499033871114
NR1H3,2.1218,7,0.8359891298780336,0.38649884150541675,0.8203296406379637,0.0790057121781593
HES1,2.1211,7,0.8097630059213288,0.4081031999499029,0.7968470673968626,0.10638699925238507
RUNX2,2.1157,6,0.9629946000047196,0.31417120671300647,0.7161253510037484,0.12243244871901848
ELF1,2.111,7,0.8158578714206403,0.40735174400400775,0.8227187565430925,0.06505689899894876
STAT3,2.1101,7,0.8635707691123704,0.38374350303713445,0.7857200422298587,0.07709660512901109
NACC1,2.1083,3,0.7427659548025258,0.4455507545870124,0.4199676102192593,0.5
STAT6,2.0998,6,0.7868038951396241,0.34704740434592024,0.9029721762345582,0.06297609507951968
NR3C1,2.0997,6,0.8740633859584191,0.3765420502223057,0.7809624113511728,0.06813950973236108
FOS,2.0982,7,0.7789489279631219,0.4087294132381489,0.8487247252351362,0.061748003415709726
TFAP2A,2.0964,7,0.7719809245153106,0.459765796230196,0.7721980142874839,0.0924211961701825
